,mean,std
0,508,11624
1,164,6294
2,698,5821
3,1143,7807
4,465,4763
5,1947,8057
6,1057,5885
7,1168,7107
8,354,3918
9,3325,10142
10,909,3672
11,671,4857
12,567,6642
13,469,6071
14,208,5914
15,461,6718
16,1,5083
