,mean,std
0,44,1083
1,97,984
2,63,874
3,127,1148
4,102,864
5,540,1810
6,58,1202
7,10,1230
8,78,1047
9,275,1384
10,133,971
11,39,1044
12,69,1235
13,82,1048
14,217,1286
15,62,1129
16,144,1047
