,mean,std
0 ,81 ,1791 
1 ,232 ,2662 
2 ,686 ,3410 
3 ,272 ,1499 
4 ,394 ,2521 
5 ,154 ,3362 
6 ,220 ,3800 
7 ,22 ,2009 
8 ,104 ,1286 
9 ,1023 ,5371 
10 ,470 ,1868 
11 ,174 ,2358 
12 ,382 ,1743 
13 ,163 ,2279 
14 ,1189 ,3593 
