,mean,std
0,664 ,4112 
1,4547 ,17588 
2,1204 ,18633 
3,1423 ,4722 
4,549 ,7396 
5,266 ,9012 
6,2044 ,18153 
7,446 ,6966 
8,445 ,3225 
9,6571 ,13587 
10,907 ,5336 
11,624 ,8108 
12,553 ,5325 
13,389 ,5928 
14,921 ,10611 
