,mean,std
0 ,21 ,185 
1 ,49 ,269 
2 ,35 ,246 
3 ,63 ,156 
4 ,44 ,250 
5 ,20 ,298 
6 ,24 ,254 
7 ,17 ,148 
8 ,21 ,211 
9 ,90 ,361 
10 ,66 ,446 
11 ,20 ,198 
12 ,22 ,206 
13 ,12 ,205 
14 ,59 ,241 
,,
