61,539
165,539
168,539
172,537
176,537
179,537
182,538
186,538
189,539
192,536
196,537
199,538
202,537
206,536
209,535
212,534
217,535
220,534
223,537
227,537
230,540
233,540
237,541
240,542
243,540
246,536
250,535
253,537
257,538
261,540
264,540
267,541
271,540
274,541
277,542
281,544
284,543
287,544
291,543
294,543
297,543
302,542
305,541
308,541
312,540
315,540
318,540
322,541
325,543
328,544
331,545
335,544
338,544
342,543
346,540
349,538
352,538
356,537
359,538
362,537
366,535
369,534
372,535
376,535
379,535
382,533
387,533
390,532
393,529
397,528
400,527
403,524
407,520
410,514
413,508
417,501
420,493
423,486
427,481
431,476
434,469
437,467
441,465
444,464
447,464
451,462
454,460
457,463
461,466
464,465
467,465
472,469
475,475
478,477
482,479
485,480
488,483
492,485
495,489
498,493
502,496
505,499
508,503
512,507
516,511
519,514
522,516
526,517
529,518
532,519
536,520
539,522
542,523
546,523
549,526
552,528
557,525
560,526
563,526
567,526
570,528
573,532
577,534
580,535
583,534
587,536
590,536
593,539
596,538
601,537
604,539
607,540
611,542
614,544
617,544
621,543
624,545
627,547
631,548
634,549
637,550
642,550
645,550
648,550
652,551
655,551
658,552
662,552
665,551
668,549
672,548
675,547
678,547
681,546
686,545
689,544
692,544
696,544
699,545
702,545
706,547
709,549
712,550
716,553
719,555
722,554
727,553
730,553
733,552
737,549
740,548
743,548
747,547
750,546
753,546
757,544
760,543
763,541
766,537
771,536
774,536
777,537
781,538
784,541
787,545
791,547
794,548
797,548
801,547
804,545
807,546
812,545
815,544
818,544
822,543
825,543
828,543
832,544
835,544
838,546
842,546
845,545
848,544
852,542
856,540
859,540
862,542
866,543
869,546
872,549
876,549
879,549
882,548
886,548
889,548
892,548
897,550
900,550
903,550
907,549
910,548
913,547
917,546
920,544
923,544
927,543
930,545
933,546
937,546
941,545
944,544
947,543
951,544
954,544
957,544
961,545
964,544
967,543
971,541
974,540
977,540
982,539
985,537
988,537
992,536
995,536
998,536
1002,536
1005,537
1009,537
1013,539
1016,540
1020,542
1025,543
1028,541
1032,541
1036,541
1039,541
1043,544
1047,545
1050,545
1054,546
1058,547
1061,547
1065,547
1070,547
1073,549
1077,552
1080,552
1084,551
1088,548
1091,545
1095,545
1099,545
1102,543
1106,543
1111,545
1114,548
1118,549
1122,544
1125,542
1129,546
1133,552
1136,556
1140,558
1144,557
1147,556
1152,557
1156,557
1159,557
1163,559
1166,560
1170,566
1174,570
1177,573
1181,576
1185,580
1188,579
1192,576
1197,573
1200,568
1204,569
1208,571
1211,571
1215,572
1219,572
1222,578
1226,576
1230,572
1233,566
1238,566
1242,568
1245,570
1249,569
1252,568
1256,568
1260,563
1263,563
1267,563
1271,562
1274,560
1278,559
1283,560
1286,559
1290,557
1294,564
1297,568
1301,567
1305,566
1308,563
1312,559
1316,559
1319,555
1324,547
1328,550
1331,557
1335,562
1338,562
1342,563
1346,563
1349,561
1353,562
1357,565
1360,565
1364,564
1369,565
1372,564
1376,562
1380,560
1383,559
1387,556
1391,555
1394,554
1398,554
1402,554
1405,552
1410,550
1414,549
1417,548
1421,547
1424,546
1428,545
1432,543
1435,543
1439,543
1443,544
1446,544
1451,545
1455,545
1458,546
1462,546
1466,546
1469,547
1473,550
1477,551
1480,551
1484,551
1488,551
1491,550
1496,549
1500,548
1503,548
1507,548
1510,547
1514,547
1518,547
1521,546
1525,547
1529,552
1532,556
1537,559
1541,563
1544,567
1548,571
1552,573
1555,575
1559,576
1563,575
1566,574
1570,572
1574,570
1577,568
1582,567
1586,567
1589,568
1593,569
1596,570
1600,569
1604,568
1607,567
1611,565
1615,564
1618,562
1623,562
1627,562
1630,562
1634,562
1638,561
1641,558
1645,554
1649,552
1652,551
1656,551
1660,551
1664,552
1668,554
1672,555
1675,555
1679,555
1682,555
1686,556
1690,557
1693,557
1697,555
1701,554
1704,554
1709,553
1713,553
1716,552
1720,550
1724,549
1727,549
1731,547
1735,546
1738,547
1742,549
1746,551
1750,552
1754,551
1758,549
1761,547
1765,545
1768,543
1772,541
1776,542
1779,545
1783,547
1787,548
1790,550
1795,550
1799,549
1802,547
1806,546
1810,546
1813,546
1817,543
1821,536
1824,529
1828,523
1832,516
1836,509
1840,503
1844,496
1847,490
1851,485
1854,479
1858,474
1862,474
1865,474
1869,479
1873,485
1876,491
1881,496
1885,500
1888,504
1892,507
1896,512
1899,517
1903,524
1907,525
1910,522
1914,527
1918,536
1922,545
1926,551
1930,557
1933,558
1937,556
1941,555
1944,552
1948,548
1951,544
1955,540
1959,537
1963,534
1967,530
1971,524
1974,518
1978,515
1982,515
1985,516
1989,515
1993,511
1996,511
2000,511
2004,506
2008,500
2012,495
2016,492
2019,492
2023,496
2027,500
2030,501
2034,502
2037,505
2041,508
2045,510
2049,509
2053,508
2057,509
2060,514
2064,522
2068,529
2071,534
2075,536
2079,537
2082,536
2086,533
2091,526
2094,516
2098,506
2102,498
2105,493
2109,488
2113,484
2116,479
2120,477
2123,474
2127,472
2131,472
2135,469
2139,467
2143,467
2146,467
2150,468
2154,469
2157,467
2161,467
2165,471
2168,481
2172,492
2177,502
2180,513
2184,525
2188,533
2191,538
2195,540
2199,535
2202,541
2206,547
2209,548
2213,547
2217,545
2221,549
2225,548
2229,544
2232,540
2236,538
2240,540
2243,543
2247,546
2251,548
2254,550
2258,555
2263,566
2266,577
2270,579
2274,576
2277,571
2281,567
2285,562
2288,559
2292,559
2295,558
2299,561
2304,563
2307,563
2311,564
2315,563
2318,560
2322,558
2326,555
2329,555
2333,557
2337,555
2340,550
2344,547
2349,545
2352,546
2356,545
2360,544
2363,544
2367,542
2371,542
2374,541
2378,539
2381,537
2385,535
2390,535
2393,539
2397,542
2401,542
2404,539
2408,536
2412,535
2415,537
2419,541
2423,544
2426,549
2430,554
2435,559
2438,560
2442,561
2446,563
2449,565
2453,566
2457,569
2460,571
2464,572
2467,573
2471,574
2476,574
2479,573
2483,573
2487,575
2490,573
2494,568
2498,564
2501,563
2505,562
2509,562
2512,562
2516,563
2521,562
2524,559
2528,557
2532,554
2535,552
2539,548
2543,546
2546,544
2550,544
2553,546
2557,553
2562,560
2565,561
2569,557
2573,553
2576,551
2580,550
2584,549
2587,546
2591,542
2595,538
2598,538
2603,540
2607,541
2610,542
2614,544
2618,546
2621,546
2625,543
2629,540
2632,539
2636,541
2639,545
2643,548
2648,550
2651,553
2655,555
2659,555
2662,555
2666,555
2670,555
2673,556
2677,557
2681,559
2684,562
2689,561
2693,560
2696,562
2700,562
2704,561
2707,562
2711,563
2715,563
2718,564
2722,566
2725,568
2729,568
2734,568
2737,568
2741,569
2745,569
2748,570
2752,569
2756,567
2759,565
2763,561
2767,559
2770,559
2775,558
2779,559
2782,562
2786,563
2790,562
2793,561
2797,559
2801,556
2804,553
2808,551
2811,550
2816,550
2820,553
2823,554
2827,555
2831,553
2834,552
2838,551
2842,549
2845,547
2849,544
2853,546
2856,548
2861,546
2865,546
2868,543
2872,539
2876,538
2879,541
2883,544
2887,542
2890,540
2894,537
2898,535
2902,536
2906,536
2909,540
2913,544
2917,547
2920,546
2924,545
2928,543
2931,541
2935,539
2939,537
2942,540
2947,541
2951,543
2954,544
2958,545
2962,543
2965,539
2969,536
2973,537
2976,542
2980,545
2984,545
2988,545
2992,543
2995,537
2999,537
3003,539
3006,544
3010,542
3014,543
3017,548
3021,553
3025,557
3028,560
3033,560
3037,561
3040,559
3044,558
3048,557
3051,554
3055,550
3059,547
3062,545
3066,544
3070,545
3074,546
3078,547
3081,548
3085,551
3089,552
3092,552
3096,552
3100,555
3103,558
3107,561
3111,570
3115,581
3119,587
3123,587
3126,583
3130,579
3134,575
3137,572
3141,569
3145,565
3148,563
3152,561
3156,558
3160,553
3164,550
3167,546
3171,544
3175,541
3178,539
3182,535
3186,532
3189,530
3193,528
3197,525
3201,522
3205,518
3209,513
3212,509
3216,507
3220,505
3223,501
3227,497
3231,496
3234,496
3238,499
3243,503
3246,507
3250,511
3253,516
3257,521
3261,526
3264,530
3268,534
3272,540
3275,544
3279,547
3283,549
3287,551
3291,555
3295,557
3298,558
3302,559
3306,560
3309,561
3313,564
3317,565
3320,565
3324,564
3329,563
3332,560
3336,559
3339,560
3343,558
3347,554
3350,553
3354,554
3358,557
3361,558
3365,558
3369,556
3373,555
3377,557
3381,558
3384,558
3388,556
3392,554
3395,554
3399,553
3403,552
3406,551
3410,551
3415,551
3418,552
3422,553
3425,555
3429,556
3433,555
3436,553
3440,551
3444,551
3447,553
3451,556
3456,558
3459,561
3463,563
3467,562
3470,561
3474,559
3478,556
3481,555
3485,556
3489,558
3492,559
3496,560
3501,561
3504,560
3508,559
3511,559
3515,557
3519,558
3522,558
3526,558
3530,559
3533,559
3537,560
3542,559
3545,558
3549,555
3553,551
3556,549
3560,545
3564,538
3567,527
3571,514
3575,505
3578,496
3582,485
3587,478
3590,474
3594,474
3597,473
3601,473
3605,473
3608,472
3612,474
3616,475
3619,477
3623,481
3628,487
3631,494
3635,499
3639,502
3642,505
3646,508
3650,510
3653,514
3657,518
3661,522
3664,529
3668,534
3673,537
3676,543
3680,547
3683,545
3687,546
3691,548
3694,552
3698,556
3702,562
3705,569
3709,575
3714,578
3717,578
3721,578
3725,576
3728,575
3732,576
3736,577
3739,578
3743,578
3747,579
3750,580
3755,580
3759,579
3762,578
3766,576
3769,576
3773,575
3777,575
3780,573
3784,570
3788,568
3791,569
3795,571
3800,572
3803,573
3807,573
3811,574
3814,574
3818,574
3822,573
3825,572
3829,572
3833,570
3836,570
3841,572
3845,572
3848,573
3852,573
3856,572
3859,570
3863,570
3866,569
3870,568
3874,566
3877,565
3881,564
3886,565
3889,568
3893,569
3897,568
3900,566
3904,567
3908,565
3911,562
3915,561
3919,563
3922,565
3927,565
3931,565
3934,567
3938,573
3942,575
3945,577
3949,577
3952,576
3956,576
3960,576
3963,574
3968,572
3972,573
3975,573
3979,573
3983,573
3986,573
3990,574
3994,575
3997,575
4001,574
4005,572
4008,572
4013,572
4017,570
4020,569
4024,569
4028,567
4031,564
4035,562
4038,562
4042,563
4046,563
4049,566
4054,565
4058,564
4061,562
4065,562
4069,562
4072,563
4076,563
4080,563
4083,563
4087,564
4091,567
4094,569
4099,568
4103,566
4106,565
4110,564
4114,563
4117,561
4121,563
4124,566
4128,564
4132,556
4135,551
4140,548
4144,548
4147,550
4151,552
4155,554
4158,555
4162,554
4166,553
4169,553
4173,552
4177,551
4180,549
4185,547
4189,547
4192,547
4196,548
4200,548
4203,549
4207,549
4210,549
4214,548
4218,548
4221,549
4226,549
4230,547
4233,545
4237,545
4241,545
4244,545
4248,548
4252,552
4255,556
4259,553
4263,549
4267,543
4271,534
4275,527
4278,520
4282,510
4286,502
4289,498
4293,496
4296,495
4300,494
4304,495
4307,495
4312,497
4316,499
4319,501
4323,504
4327,505
4330,508
4334,509
4338,512
