,mean,std
10 ,268 ,617 
23 ,249 ,1966 
5 ,134 ,589 
9 ,128 ,1669 
2 ,100 ,628 
17 ,94 ,1320 
0 ,91 ,1620 
12 ,80 ,1549 
6 ,77 ,600 
1 ,77 ,866 
4 ,72 ,507 
20 ,68 ,465 
11 ,56 ,541 
16 ,52 ,370 
22 ,46 ,440 
8 ,42 ,1979 
13 ,41 ,939 
19 ,40 ,483 
24 ,40 ,702 
15 ,32 ,670 
14 ,31 ,864 
18 ,30 ,441 
21 ,26 ,454 
25 ,25 ,1533 
7 ,17 ,381 
3 ,16 ,593 
