,mean,std
0 ,1141 ,8262 
9 ,985 ,6854 
1 ,876 ,3882 
23 ,796 ,10832 
5 ,606 ,3162 
2 ,583 ,4158 
24 ,565 ,2778 
10 ,542 ,3022 
17 ,513 ,6790 
4 ,438 ,3279 
6 ,417 ,2523 
16 ,364 ,1665 
15 ,331 ,2306 
8 ,316 ,8247 
14 ,290 ,3342 
12 ,289 ,4000 
20 ,275 ,1872 
7 ,192 ,2122 
21 ,182 ,1940 
19 ,154 ,1651 
11 ,133 ,2358 
25 ,130 ,4975 
22 ,119 ,1742 
13 ,100 ,3245 
3 ,65 ,3041 
18 ,64 ,1521 
