,mean,std
0 ,863 ,5282 
6 ,635 ,1414 
10 ,559 ,1486 
8 ,287 ,5715 
17 ,253 ,4597 
1 ,248 ,2506 
15 ,243 ,1548 
2 ,228 ,1670 
9 ,227 ,4761 
5 ,226 ,1674 
12 ,218 ,2764 
20 ,165 ,953 
19 ,163 ,863 
25 ,148 ,3817 
4 ,137 ,1337 
7 ,116 ,916 
13 ,102 ,1931 
3 ,99 ,1681 
24 ,99 ,1672 
21 ,93 ,985 
11 ,83 ,1200 
16 ,72 ,969 
22 ,72 ,905 
14 ,38 ,2432 
23 ,35 ,5212 
18 ,30 ,1040 
