,mean,std
0,29,526
1,9,233
2,41,220
3,15,182
4,30,154
5,79,161
6,45,193
7,11,131
8,21,905
9,27,715
10,114,226
11,14,188
12,17,380
13,22,429
14,2,470
15,23,175
16,6,122
17,34,444
18,24,190
19,31,183
20,31,157
21,13,175
22,13,149
23,183,975
24,1,198
25,10,894
