,mean,std
0 ,47 ,221 
1 ,24 ,170 
2 ,309 ,1537 
3 ,11 ,291 
4 ,28 ,563 
5 ,42 ,208 
6 ,16 ,195 
7 ,61 ,492 
8 ,62 ,754 
9 ,19 ,153 
10 ,89 ,460 
11 ,12 ,335 
12 ,118 ,538 
13 ,22 ,394 
