,mean,std
0 ,295 ,13261 
1 ,548 ,6808 
2 ,3065 ,44861 
3 ,787 ,18423 
4 ,1226 ,8495 
5 ,354 ,6175 
6 ,876 ,3063 
7 ,1997 ,15607 
8 ,2642 ,15384 
9 ,695 ,9848 
10 ,1061 ,10459 
11 ,720 ,5289 
12 ,1105 ,12665 
13 ,385 ,7457 
