,mean,std
0 ,611 ,19702 
1 ,1312 ,5033 
2 ,206 ,4330 
3 ,1581 ,11756 
4 ,687 ,4678 
5 ,346 ,11974 
6 ,1442 ,4905 
7 ,218 ,3230 
8 ,441 ,4359 
9 ,532 ,6321 
10 ,803 ,9604 
11 ,6365 ,9426 
12 ,618 ,4151 
