,mean,std
0 ,113 ,1268 
1 ,197 ,652 
2 ,89 ,747 
3 ,110 ,580 
4 ,60 ,454 
5 ,17 ,1081 
6 ,83 ,411 
7 ,8 ,443 
8 ,72 ,509 
9 ,196 ,456 
10 ,31 ,607 
11 ,388 ,591 
12 ,67 ,502 
